Customer_ID,Customer_Country,Customer_Gender,Customer_Name,Customer_FirstName,Customer_LastName,Customer_Birth_Date,Customer_Type,Customer_Group,Customer_Age,Customer_Age_Group,Product_ID,Product_Name,Supplier_ID,Supplier_Name,Supplier_Country,Product_Group,Product_Category,Product_Line,Order_ID,Order_Item_Num,Quantity,Total_Retail_Price,CostPrice_Per_Unit,Discount,Order_Type,Employee_ID,Order_Date,Delivery_Date
31,US,F,Cynthia Martinez,Cynthia,Martinez,7-Aug-59,Orion Club Gold members medium activity,Orion Club Gold members,49,46-60 years,240100100665,Pool Shorts,4742,Luna sastreria S.A.,Spain,Assorted Sports articles,Assorted Sports Articles,Sports,1241731828,2,1,$41.50 ,$17.25 ,,1,121025,18-Mar-07,18-Mar-07
31,US,F,Cynthia Martinez,Cynthia,Martinez,7-Aug-59,Orion Club Gold members medium activity,Orion Club Gold members,49,46-60 years,240100100410,Prosoccer  Club Football 4/32 (Replica) Synth,5810,Teamsports Inc,United States,Assorted Sports articles,Assorted Sports Articles,Sports,1241731828,1,1,$22.70 ,$10.40 ,,1,121025,18-Mar-07,18-Mar-07
65,DE,F,Ines Deisser,Ines,Deisser,20-Jul-69,Orion Club members low activity,Orion Club members,39,31-45 years,230100600005,"Basic 10, Left , Yellow/Black",755,Top Sports,Denmark,Sleepingbags,Outdoors,Outdoors,1241581744,1,1,$129.80 ,$63.20 ,,1,120462,2-Mar-07,2-Mar-07
65,DE,F,Ines Deisser,Ines,Deisser,20-Jul-69,Orion Club members low activity,Orion Club members,39,31-45 years,230100700004,Expedition Dome 3,16422,Outback Outfitters Ltd,United Kingdom,Tents,Outdoors,Outdoors,1241581744,2,1,$360.00 ,$199.00 ,,1,120462,2-Mar-07,2-Mar-07
129,US,F,Caroline Wedde,Caroline,Wedde,17-Apr-79,Internet/Catalog Customers,Internet/Catalog Customers,29,15-30 years,240100400087,Relation 76 millimetre/78a Roller Skates,1684,Magnifico Sports,Portugal,Skates,Assorted Sports Articles,Sports,1241804157,1,1,$117.20 ,$58.55 ,,3,99999999,26-Mar-07,27-Mar-07
129,US,F,Caroline Wedde,Caroline,Wedde,17-Apr-79,Internet/Catalog Customers,Internet/Catalog Customers,29,15-30 years,240500200148,Allda Jacket,4742,Luna sastreria S.A.,Spain,Running Clothes,Running - Jogging,Sports,1241695851,2,1,$139.10 ,$59.20 ,,3,99999999,14-Mar-07,15-Mar-07
129,US,F,Caroline Wedde,Caroline,Wedde,17-Apr-79,Internet/Catalog Customers,Internet/Catalog Customers,29,15-30 years,240500200018,Tri-Sprinter,5922,Force Sports,Belgium,Running Clothes,Running - Jogging,Sports,1241695851,1,1,$41.60 ,$19.75 ,,3,99999999,14-Mar-07,15-Mar-07
129,US,F,Caroline Wedde,Caroline,Wedde,17-Apr-79,Internet/Catalog Customers,Internet/Catalog Customers,29,15-30 years,240800200021,Cayenne Red,16814,CrystalClear Optics Inc,Canada,Winter Sports,Winter Sports,Sports,1241676751,1,1,$97.80 ,$42.45 ,,3,99999999,12-Mar-07,13-Mar-07
142,US,M,Burt Chuaprasert,Burt,Chuaprasert,12-Jun-49,Orion Club Gold members high activity,Orion Club Gold members,59,46-60 years,230100500021,Polyester 3-Persons,316,Prime Sports Ltd,United Kingdom,Outdoor Gear,Outdoors,Outdoors,1241686237,2,1,$93.20 ,$40.70 ,,1,121064,13-Mar-07,13-Mar-07
142,US,M,Burt Chuaprasert,Burt,Chuaprasert,12-Jun-49,Orion Club Gold members high activity,Orion Club Gold members,59,46-60 years,230100300024,Twain 500 Expert Gtx Ski Gloves,13198,Twain Inc,United States,Gloves & Mittens,Outdoors,Outdoors,1241686237,1,1,$49.10 ,$22.85 ,,1,121064,13-Mar-07,13-Mar-07
